anime_cast,anime_company,anime_name,anime_region,anime_status,anime_tag,anime_url,anime_view,anime_year
久川绫|高乃丽|桑岛法子|熊井统子|折笠爱,Synergy SP,战斗陀螺Burst 第二季,日本,连载,热血|动作,http://www.dilidili.wang/anime/beydlade2/,杀人陀螺第二季,2017年4月
森川智之|山崎和佳奈|喜多村英梨,,最终流放,日本,完结,科幻|冒险,http://www.dilidili.wang/anime/zzlf/,,2010年之前
稻田彻|堀江由衣|铃木达央|绿川光|前野智昭|高桥美佳子|森久保祥太郎|杉田智和|生天目仁美|石田彰|田村由加莉|岩田光央|游佐浩二|植田佳奈|中田让治|中原麻衣,STUDIO DEEN,我叫坂本我最屌,日本,完结,装逼|青春|励志,http://www.dilidili.wang/anime/wjbanben/,装逼如风常伴我身！史上最能装逼的主角出现了。在搞笑方面，我们有《银魂 系列》耍贱尺度破表（连家长批评也没在怕）的高松信司监督领军。在耍帅方面，我们有超资深的俊男美女人物设计师．中嶋敦子坐镇。尤其在美声方面，绿川光的魅惑嗓音更是首屈一指，让你的耳朵想不怀孕也难。如此豪华阵容，怎能不令人期待,2016年4月
宫野真守|丰永利行|上村祐翔|神谷浩史|细谷佳正|小见川千明,BONES,文豪野犬,日本,完结,热血|奇幻|乙女|动作,http://www.dilidili.wang/anime/wenhao/,精彩而新颖的剧情设定加上骨头社的制作,2016年4月
阿澄佳奈|东山奈央|井口裕香|牧野由依|日笠阳子|小仓唯,,前进吧！登山少女 第二季,日本,完结,运动|泡面番,http://www.dilidili.wang/anime/yamanosusume2/,大家一起来登山吧！,2014年7月
日高里菜|花泽香菜|石原夏织|小仓唯|泽城美雪,,校园女生强袭者,日本,完结,游戏|青春|冒险|美少女,http://www.dilidili.wang/anime/girlstrikers/,制服的诱惑,2017年1月
阿部敦|保志总一朗|大原沙耶香|金元寿子|小山力也|泽城美雪|植田佳奈|子安武人,,枪神斯托拉塔斯,日本,完结,游戏|冒险,http://www.dilidili.wang/anime/gunslinger-stratos/,虚渊玄原案！话说日本被祸害多年，终于不复存在了……,2015年4月
丰永利行|明坂聪美|千菅春香|花泽香菜|山下诚一郎|佐藤聪美,,少女们向荒野进发,日本,完结,游戏|青春|冒险,http://www.dilidili.wang/anime/shokomeza/,游戏里面做游戏，少女们干爸撸,2016年1月
能登麻美子|山寺宏一|水树奈奈,MADHOUSE,艾莉森与莉莉亚,日本,完结,科幻|电击文库|恋爱|美少女,http://www.dilidili.wang/anime/alsylly/,仅有一片陆地的世界，分成东西二个联邦，这二个国家长年争战不断。,
关俊彦|久川绫|速水奖|小野坂昌也|雪野五月,,枪神Trigun,日本,完结,搞笑|冒险|童年,http://www.dilidili.wang/anime/trigun/,贯彻爱与和平的人形台风,2000年之前
关俊彦|冈本信彦|金元寿子|久保由利香|茅野爱衣|内田雄马|千本木彩花|日高里菜|速水奖|小仓唯|佐仓绫音,Graphinica,龙王的工作！,日本,完结,搞笑|治愈系|青春,http://www.dilidili.wang/anime/longwangdgz/,与三年级小学女生同居的生活~~~,2018年1月
