novel_author,novel_introduction,novel_name,novel_redu,novel_shoucang,novel_startdate,novel_status,novel_tag,novel_updatedate,novel_url,novel_zishu
kippps,"几千年前，为了让拥有特殊能力的几个种族公平地得到属于自己的领域，并且永续生存下来，名为御式的一族开启了一场地域争夺战，却不料，到了几千年后的现代，这种变了味道的厮杀之战还在继续定时爆发着。
于是为了结束这场荒唐至极的争夺之战，但又绝对不能丢失了自己的一席之地，他们有的开始合作吞并其他，有的则闭门不出不问世事……但从内部开始分化，也就是所谓内战的，便只有“执念者”这一自带Bug属性的特殊能力者了。",安物语,<1万,5,1天前,"
                        
                            连载中                    ",战斗|校园|超能力,25分钟前,http://www.linovel.net/book/105623.html,8629
雷可,"这一次进入自由人线吧。和柯路诺的两个人的世界。这一个轮回，我想给你幸福。
推荐先看我的另一本，柯路诺里支线。",永七·两个人的世界,1.5万,12,2018-08-27 00:47,"
                        
                            连载中                    ",幻想|恋爱|同人|永远的7日之都,9分钟前,http://www.linovel.net/book/105487.html,1.3万
勇者想上魔王有什么错,"一场诅咒突然夺走了弗格的一切，想要解开诅咒必须得到女神们的祝福。
自此，少年踏上了追寻女神的旅程。",少年，抓个女神当女仆吧！,40.7万,433,2018-04-27 18:34,"
                        
                            连载中                    ",幻想|战斗|后宫,9分钟前,http://www.linovel.net/book/104226.html,15.8万
墨色氤氲,"女指×晏华
差不多就是一个有关于“真香”的故事
",让神之头脑失去理智（晏华线）,1.9万,9,4天前,"
                        
                            连载中                    ",恋爱|异界|日常|永远的7日之都,6分钟前,http://www.linovel.net/book/105574.html,5106
错字吉祥物,三年前，一场在发生在他眼前的车祸却没能阻止的他被降下了诅咒，这些诅咒让他这三年的生活以及自身发生了巨变，在一场事件后，走在路旁的他又再一次看见了和三年前车祸身亡的女孩，三年前的事件又再一次的在他眼前试图上演。“我比任何人都想要救拯救妳”。他与她的故事早已开始。  ,永恒的诅咒,2.2万,15,2018-08-22 21:43,"
                        
                            连载中                    ",战斗|恋爱|异界,4分钟前,http://www.linovel.net/book/105410.html,4.5万
大吉同学,"饱受嫌弃的家里蹲主角挂了，本以为咸鱼翻身当个天界公务员，然而总觉得进了什么骗子公司。一群同事除了美颜无敌，个个都囧不可言。唉，欢迎收看我与猪队友的工作日志，笑着笑着小心哭了。
大概是个黑色幽默文。不过在人性的深海中所潜藏着的，除了怪兽，可能还有闭壳里的闪闪珍珠吧，哈哈。
【暴言预警，网梗预警，颜文字预警，语气符连击预警】",外包天使团,5万,40,2018-06-22 04:13,"
                        
                            连载中                    ",幻想|节操|妖怪,1小时前,http://www.linovel.net/book/104511.html,1.3万
S菌蘑人,"
“游戏玩家向导以及客户服务APC？”

“这是什么东西？”

“学历及能力不限，只要求成年及拥有正常的智力水平，能够以良好的态度与客户进行沟通即可，全天候寄宿制工作，包吃住，年薪四十二万元！！！”

“该不会是诈骗！？”

　【还有什么好害怕的？还有什么好犹豫的？难道你还有其他的路可以走吗？已经没有时间了！即使是现在也正在不断有人前来报名！如果你不快点做出决定的话，名额可就要没有了呦～】

“管他是诈骗还是什么的！老子以经无路可退了啊！！！”

“啊嘞嘞？怎么回事？这就是我的新工作吗？”

“呐呐~你就是我的小精灵吗？我叫艾莉莎，你叫什么名字？”

“为什么我变成了一只小精灵！？还是很少女风的那种？？？”

在那一刻，耸立在英雄之丘的大榕树下，为了谋求一职，获得安稳生活而成为“新手向导精灵”的少年，与为了改变自己的平凡一生，成为人人尊敬的“英雄”的村民少女，就此相遇了…

而在这棵榕树之下小小的相遇，便是一切故事的开端……………………
",TreasureStar—宝星绮谭,3.1万,23,2018-08-24 00:24,"
                        
                            连载中                    ",幻想|后宫|科幻|2018轻之文库创想物语大赏1st,1小时前,http://www.linovel.net/book/105442.html,2.5万
耳机子,"防止着异世界的生物进入现实世界，维护着两个世界平衡的职业，被称为守门人，是这世界上最高危的职业，没有之一。
现实世界的大学生夏羽，在自己不知情的情况下，莫名其妙的成为了守门人，于是，史上最弱的守门人诞生了……
手无缚鸡之力，跑个一千米都能累死的夏羽，当然完美的胜任不了这个职责，为了活下去，还是先抱好自己身边的大腿比较好……
守护着这世界的最弱守门人的冒险物语，由此展开。

",猩红彼方的秩序者,13.5万,118,2017-09-24 16:30,"
                        
                            连载中                    ",幻想|战斗|悬疑,1小时前,http://www.linovel.net/book/102951.html,5.3万
村长,"本书又名《银月战纪》,一日一更，一更一章，一章两千
介绍一：在这个充满幸福与杀戮，美妙与残酷的世界中，我有个伟大又渺小的梦想:让所有人都知道，老子不是精灵！！然后跟妻子调调情，生俩娃；和基友探探险，挖个宝。顺便做好商会工作。所以，我要自由而淫荡的活下去。是的，只有活着我才能见到明天跳跃在地平线上的金色希望；只有活着我才能复仇，亲手血刃那个曾经让我痛苦到灵魂深处的人！

介绍二：月长星，这是我的名字，在月之大陆上的用的名字。在这里，我有父母，有工作，有妻子，有女友，有基友，咳咳，是有朋友……嗯，先声明，妻子跟女友是两个女孩儿，而且呢，我不止一个基友，又说错了……是不止一个朋友，嘿嘿……我可是完成了很多男人一辈子都梦想的事情……哦哈哈哈哈（一脸淫笑ing）
咳咳，好了，自我介绍就这么简洁，接下来是提问时间：
月长星：什么，你问我，为何留着一头飘逸的银色长发跟美丽不可万物的银色瞳孔？
答：母亲的基因强大吧。她可精灵族中稀有的银月精灵，我自然也传承了……
问：那你就是精灵喽？
答：不是，我不是精灵，你看，我可没有精灵尖尖的耳朵，也不会总吃素。（月长星用手撩开银色长发，漏出了正常的人类耳朵）
问：但是你背着弓箭，月之大陆上，精灵可是天生的弓箭手，而且你银发银瞳，还有，你姓：月，世界上可是只有银月精灵姓月啊……
答：（十分气愤）我有什么办法！！！母亲的基因太强大，以至于遗传了弓箭的天赋，跟银色的基因！
问：那你为什么姓月？
答：随母姓。月长星，听着顺耳，叫着顺嘴。星伴月升，你想想那是多么富有诗情画意的名字。
问：那还是精灵了？
答：（愈加气愤）我说了，我不是精灵！我不是精灵！我不是精灵！好了，提问环节到此结束，要不然作者该强行退出第一人称的描写了！最后一句，月长星，男，二十岁，未婚。工作，月之大陆三大商会之一，精灵商会异族负责人，欢迎各族的美眉找我私聊~~
题外音：精灵商会？你不还是精灵吗？话说，你不是有妻子，有女友，怎么会未婚啊！！！
",请问，你是精灵吗？,106.3万,927,2017-12-01 16:21,"
                        
                            连载中                    ",幻想|战斗|异界,1小时前,http://www.linovel.net/book/103362.html,53万
时光旅人,"你知道「清明梦」吗？
在做梦时保持清醒的意识，自由地操纵梦中的一切。进入「清明梦」的你就是这个空想世界的造物主。
正如乔瑟夫‧坎伯所说——
「神话是世人皆有的梦，梦是私人独占的神话。」

若是让梦境的支配者们去往同一个梦境呢？
当私人独占的神话产生动摇，成为世人皆有的梦，那么梦境也不再是一个人的单机游戏。

假如在这里幸存下来的胜者，能让自己的妄想成为现实呢？
支配者们会为了自己被侵染的一袭圣地，谱写出属于梦之世界的，支配战争吧。

闭上双眼。
空想时钟的指针，即将转动——",空想时钟～梦境支配者～,456.8万,3712,2017-08-04 17:54,"
                        
                            连载中                    ",幻想|战斗|科幻|第二回新人赏  长篇组,1小时前,http://www.linovel.net/book/102610.html,93.4万
沐之晴,"艾卡和洛洛在双亲的建议之下开始了人生中第一次独立旅行，目标是无国界、无种族差异的超自然能力研究学园——霜月学园。
家人赠与兄妹二人的临行礼物——“魔装”。那是在百年前的跨界战争中突然出现，具有超规模能力的魔法武器，同时也是没落家族的身份象征。
意外揭露的家世，个性强硬的没落家族大小姐——泠，温柔弱气的最强结界魔法师——薇汐，有着千丝万缕联系的少女们接二连三地来到了艾卡的身边。他们所要面对的，是一心拉拢甚至杀害持有者以狩猎魔装的诡异结社，表面繁荣昌盛却暗波涌动的人类帝国，以及于迷雾中时刻属意魔装力量的各方势力。
战斗与恋爱编织的物语，于此展开——",无尽白银之械,2253.6万,23399,2016-07-14 19:29,"
                        
                            连载中                    ",幻想|战斗|恋爱|校园|后宫,1小时前,http://www.linovel.net/book/100818.html,121.6万
逆尘曦zero,"      我I曾经遇到了这样的一个女孩，她把眼泪还给了天空。
      我曾经与这样的一个家伙相遇，他只懂得伤害自己帮助他人。
      我曾经到过这样一个温柔的世界，只为了让那两个珍爱的人成长而存在。
     我曾经又回到了那个世界，所幸的是那幸运的光玉已经使得一切都有了幸福的结局。
     我曾经进入了他们的世界，感谢那些温柔的故事，那些温柔的人，陪伴我，让我重新开始了原本已经停滞的时光
    ",愿谛听,<1万,4,7天前,"
                        
                            连载中                    ",幻想|治愈|同人,58分钟前,http://www.linovel.net/book/105513.html,7550
笑不由心,"“对不起，我和你说！我很忙的，有事不要找我！！”
“抱歉，请问有什么需要帮助么？”",无铭默示录,3.2万,30,2018-08-21 01:06,"
                        
                            连载中                    ",幻想|异界|妖怪,57分钟前,http://www.linovel.net/book/105375.html,6.8万
吉吉岛,这是关于我「晓罗天」突然被转身卡车转生到异世界， 然后因为得到女神赐予的强大力量，并秒杀各种异世界土著， 征战四方最后统治世界的故事，原本我是这样想的。,傻瓜勇者与他的伙伴在异世界的冒险之旅,4.1万,41,2018-08-09 22:21,"
                        
                            连载中                    ",战斗|异界|悬疑|2018轻之文库创想物语大赏1st,40分钟前,http://www.linovel.net/book/105142.html,4.3万
南柯梦貘,"这里有各种奇异的魔法
这里有数不尽的财宝，妖魔。
这里有各种各样的神奇种族
这里，是十字星大陆。
这里，是艾尔塔兰德。
随着最后的神谕者的死亡，人们失去了和神沟通的纽带。
也正是因为这样一个契机，艾尔塔兰德维持千百年的平衡，被打破了。",艾尔塔兰德,1.7万,10,2018-06-18 21:15,"
                        
                            连载中                    ",幻想|异界,39分钟前,http://www.linovel.net/book/104496.html,1万
Yoooui,"					—— 一面墙，一面镜子。
—— 墙外，镜外，是我们的认知。
—— 而另一边的世界，究竟是什么呢？
—— 当墙倒镜碎，究竟会有怎样的冲击呢？
—— 维护世界love＆peace的勇者参上！
嘿，醒醒醒醒！这只是一部简简单单的吐槽向小说而已，不要弄得那么神神秘秘啊喂！			",原初之始的小翼翼,2.5万,21,2018-08-27 10:27,"
                        
                            连载中                    ",战斗|搞笑|校园|2018轻之文库创想物语大赏1st,33分钟前,http://www.linovel.net/book/105489.html,4.9万
韭菜葱花馅烙饼,"       故事讲述的是在人类驱逐了异能力者之后的世界，一群怀揣着理想，性格迥异的人们互相交织的故事。
      渴望安稳的便利店长，追求正义的杀手，冷血无情的执行官以及患有精神分裂症的少年等等，这是一个围绕着白色面具所发生的故事！
      以普通人和异能力者编织的幻想世界，现在拉开帷幕！",无染的黑之鸠,<1万,6,3天前,"
                        
                            连载中                    ",幻想|战斗|超能力,30分钟前,http://www.linovel.net/book/105584.html,1.9万
焦糖@今天也是咸鱼呢,"永远的七日之都角色支线征文。尽管新主线要出了，但仍是想动笔写一写自己的男朋友来爽一把。以赛斯为主角的故事。
这也是神官与信徒之间做出的约定的故事。",永七—神官的职责,1.8万,12,2018-08-15 04:11,"
                        
                            连载中                    ",同人|永远的7日之都,26分钟前,http://www.linovel.net/book/105268.html,1.2万
星白Knut,在历经战火和分裂的古老大陆上，一位英雄带领着12位龙骑士统一了各国，赶走了来自冰海对岸的野蛮侵略者，建立了一个统一的帝国——罗兰帝国。统一给商人们带来了财富，给平民们带来了安定。而盛世向来无法永远持续。在罗兰高地的圣殿中，一位神圣的守卫听到了来自远方国度的歌声。神秘的少女、突如其来的剧变、敌友不分的战场，濒临崩溃的帝国中响起了古老的歌谣,霜天鹅挽歌,9.2万,152,2018-08-22 15:35,"
                        
                            连载中                    ",幻想|战斗|异界|2018轻之文库创想物语大赏1st,3小时前,http://www.linovel.net/book/105403.html,13万
chinakings,"      不久的将来，当宇宙中爆发的强能量潮汐席卷了地球，异世界的空间在世界各地出现。人类先是陷入了病毒性寄生生物的侵袭，继而又在与未知的异生物生物战斗中逐渐落败。人类被逼到狭小的国土，活在与恐怖为邻，与绝望为伴的环境中。
     居住在新东京十七区外围难民营的修女二藤院红，不顾危险和自身已经相当窘迫的条件从逃难人群的脚下救起了一对陷入深坑昏迷的兄妹，于是这微不足道的善举，就以核裂变般的速度不断发酵，直到改变并终结了这个连神都无能为力的末世。
       故事就是从这一对谜一样的兄妹身上开始的............
扉页寄语：
   不想多说什么，只要静心看下去，你就会明白很多留日的粉丝为什么会追番的原因了！",当神明都已无能为力之时,22.2万,177,2018-08-03 16:39,"
                        
                            连载中                    ",幻想|后宫|超能力|2018轻之文库创想物语大赏1st,3小时前,http://www.linovel.net/book/104961.html,15万
空雨雾,"在与物质世界平行的信息世界中，精灵掌管着一切。
林绊在死亡的瞬间被精灵香草叶拉到了这个神奇而不讲道理的世界，开始了补完这个世界的任务。
简单地说，被拉到这里要求打工了。
精灵、人类、妖精、人偶、冰葵······无数种族开始交织成这世界最棒的物语。",尚未完成的世界,4.4万,48,2018-08-20 22:51,"
                        
                            连载中                    ",幻想|战斗|异界|2018轻之文库创想物语大赏1st,3小时前,http://www.linovel.net/book/105373.html,4.9万
kr小鸟,"同人，战斗，轻百合，（对原人物改动很大不要太较真）
（此处放上阿虚的名言以视提醒）",waterh~某类地行星普通高中生平淡无聊日常生活的一些事,<1万,1,20小时前,"
                        
                            连载中                    ",同人,3小时前,http://www.linovel.net/book/105630.html,10.1万
小先天,光怪陆离，奇幻大陆，为这个精彩的世界而奋斗！,提坦战记,21.4万,140,2017-11-01 16:16,"
                        
                            连载中                    ",幻想|战斗|异界,3小时前,http://www.linovel.net/book/103182.html,8.6万
双重杏仁以及沙拉没有酱,"向往魔法全盛时期的少年成功的穿越回三千年前？可事情真的会那么顺利吗，身处陌生世界的他又该如何生存？怪人接踵而至，心动又心累的“史前”生活即将展开！
",“史前”生存指南,6.2万,54,2018-07-14 16:54,"
                        
                            连载中                    ",幻想|战斗|异界,3小时前,http://www.linovel.net/book/104662.html,3.7万
爱吃山楂的胖贼,"从古至今，神话悠久流传。
那些衍生而出关于妖魔鬼怪的传闻，也始终非议不断。
有人说，看见过它们；也有人说，它们就夹缝于人间的至暗。
看不见，摸不着。如暗流，却始终存在。

于是乎某一天，当平凡的少年几乎快被霉运逼疯的时候——那些稀奇古怪的东西，似乎都悄然而至，一股脑的来了……


",灵异侠客,6万,83,2018-08-26 16:59,"
                        
                            连载中                    ",超能力|妖怪|悬疑|2018轻之文库创想物语大赏1st,3小时前,http://www.linovel.net/book/105475.html,6.7万
八格雅鲁,"这是一个真实的世界，没有无聊单调的打僵尸日常，只有僵尸无尽的侵略与植物和人类的日薄西山。
这是一场奇幻的冒险，由战斗，热血，智斗，悬疑交织而成。
这是一个残酷的故事，没有龙傲天甚至希望，有的只是奋斗后仍需面对的绝望。
这还有一个有野心的作者，力图创造pvz的神作。
（第一卷写的确实不好，第二卷作者正不断进步中，还望大家见谅！）
（存稿目前较为充足，预计每日18:00一更）",植物大战僵尸奇幻时空之旅,5.1万,53,2018-08-17 17:12,"
                        
                            连载中                    ",幻想|战斗|异界,3小时前,http://www.linovel.net/book/105315.html,5.4万
凪,"我叫羽岛刹那，我现在慌的一批，是这样的，有个妹子刚才扇了我一巴掌，我却对她动心了，请问这是病么？
什么？抖M，讨厌啦~我才不是抖M，只是碰巧喜欢那个妹子对我动粗的感觉~
于是，我打算对那位妹子发起积极攻势，总而言之，先讨好她，让她娇羞，再来......
咳咳咳！有点太猛烈了......
不过，虽然我很喜欢宫城小姐啦，可总觉得宫城小姐有什么秘密瞒着我？
就在某一天，当我看到宫城小姐在我面前......",攻略宫城小姐的恋爱计划,1.8万,11,5天前,"
                        
                            连载中                    ",恋爱|搞笑|校园|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/105549.html,2.1万
